TeamId,TeamName,SubmissionDate,Score
6068702,fedesoriano,"2021-12-29 13:44:10",0.00000
7871545,Chryzal,"2021-12-12 08:10:04",0.00044
7110709,"YIYANG HAO","2022-01-09 02:00:47",0.00044
7707620,Buqi_WJY,"2021-11-11 13:42:57",0.00044
7605471,BHUVAN18,"2021-11-12 08:47:19",0.00044
7066259,"Sergej Matyukha","2021-11-12 11:38:48",0.00044
7713362,"kota #2","2021-11-12 15:32:16",0.00044
7716843,"Kentaro Ishikawa","2021-11-13 08:22:10",0.00044
7453633,"Amarnath Alluri","2021-11-15 09:13:32",0.00044
7388154,"Alex Maszanski","2021-11-15 15:51:08",0.00044
7689271,onufrtany,"2021-11-15 20:44:08",0.00044
7730401,"Rashid Imanov","2021-11-16 13:22:16",0.00044
7735126,"Thomas Law","2021-11-23 11:53:59",0.00044
423870,"Mathurin Aché","2021-11-16 14:47:02",0.00044
7732077,"Andre VIanna","2021-11-18 15:41:31",0.00044
7716943,bnu_hly,"2021-11-18 04:51:46",0.00044
7757759,Zacaquiz,"2021-11-20 02:51:22",0.00044
7751056,"Andrej Marinchenko","2021-11-24 17:59:03",0.00044
7762917,"Vasily Yeremenko","2021-11-21 05:34:00",0.00044
7763578,CINIT2021,"2021-11-30 13:26:10",0.00044
7712879,Nakajima0101,"2021-11-22 23:40:24",0.00044
7486657,"Andrew Lysanets","2021-11-24 18:04:44",0.00044
7486290,"Olexandr Kosukha","2021-11-24 17:45:10",0.00044
7797279,"Manjunath GB","2021-11-27 06:26:18",0.00044
7773309,"[Deleted] 65bc328b-68b6-4ebb-8bc0-4c9f5b2b51e4","2021-11-28 03:30:40",0.00044
7410779,"Bhoobala Padmanabhan","2021-11-29 13:16:04",0.00044
7804870,vivochamp,"2021-11-30 06:56:35",0.00044
7813066,"Rakaputra Widya S F","2021-11-30 10:24:23",0.00044
6676164,"Rishi Patel","2021-12-02 03:30:53",0.00044
7828263,"Muhammad Shahid","2021-12-03 03:50:37",0.00044
7824176,alen,"2021-12-03 09:31:22",0.00044
7834990,AikenYin,"2021-12-05 13:29:34",0.00044
6833884,"Yazan Majzob","2021-12-08 11:23:34",0.00044
7860469,sam1,"2021-12-14 10:15:18",0.00044
7856032,Kcenwx,"2021-12-09 10:48:47",0.00044
7860471,www.157771569@qq.com,"2021-12-09 11:49:31",0.00044
7860391,LOSERGDJ,"2021-12-14 16:38:12",0.00044
7809799,朱恒瑞zpez1999,"2021-12-12 10:44:35",0.00044
7820827,flop,"2021-12-13 22:36:32",0.00044
7878609,"Samawel JABALLI","2021-12-13 09:48:28",0.00044
7700913,DengPuJian,"2021-12-14 05:18:23",0.00044
7690179,"Tiancheng (Leon)Liu","2021-12-15 19:18:35",0.00044
7860540,wluius,"2021-12-14 13:33:24",0.00044
7837282,quan170,"2021-12-14 14:12:12",0.00044
7887132,"banyedy #2","2021-12-15 00:59:56",0.00044
6578215,"Key Where","2021-12-30 02:06:00",0.00044
7889638,thechlio,"2021-12-16 12:42:00",0.00044
7834014,DQSX,"2021-12-16 19:12:14",0.00044
7805687,Y.S.,"2021-12-19 05:57:36",0.00044
7907590,rinagam97,"2021-12-19 18:10:18",0.00044
7582247,"Massimo Marcelletti","2021-12-20 14:47:58",0.00044
2305891,HoLoong,"2021-12-24 08:41:39",0.00044
7880015,"das Leo","2021-12-26 07:02:34",0.00044
7934635,"junseok lee","2021-12-27 02:55:54",0.00044
7005842,budh,"2021-12-27 19:02:21",0.00044
7855152,lblblbl123,"2021-12-29 11:57:25",0.00044
7950685,"Zewei Xiong","2022-01-01 13:19:48",0.00044
6268073,beasterea1109,"2022-01-06 22:43:48",0.00044
7806456,"[Deleted] 95cc7f91-a77f-4c58-9495-01921b4cb1a3","2021-11-30 11:41:44",0.02593
7520493,"mohamed ashraf","2021-11-28 14:51:15",0.02619
7762897,Wymnku,"2021-11-24 04:27:36",0.04920
7732448,gxl77777,"2021-12-23 02:36:58",0.04920
7738899,hulanxi2120210304,"2021-12-28 07:29:05",0.04920
7949362,heguangyu,"2021-12-31 07:31:58",0.04920
7918038,innkup,"2021-12-22 04:36:26",0.04920
6576463,"Van Tran","2021-12-03 06:01:41",0.04928
7726932,"Bofei He (CH)","2021-12-23 05:09:57",0.04969
7220860,"Jenna Bowman","2021-12-14 04:31:04",0.05263
7937611,"A.E. Peters","2022-01-04 23:18:17",0.05468
7885274,"Veronica Liuyi Yang","2021-12-14 17:05:43",0.05553
7818575,maryber,"2021-12-11 20:01:52",0.05866
7974428,CaoZihang,"2022-01-10 02:35:41",0.06561
7788131,"Hiroshi #6","2021-12-08 03:00:34",0.07803
7879302,"Zahra Sarah Khodijah","2021-12-13 13:14:33",0.07803
3639676,"Sonali singh","2022-01-06 21:59:41",0.07803
7639299,Taiyu1215,"2021-12-22 04:23:51",0.08163
7732977,Caïssa,"2022-01-06 09:18:29",0.08341
7807407,111111111,"2021-12-23 08:54:53",0.09426
7884782,"without shoe 425","2021-12-14 14:54:19",0.09529
7949597,heguangyu525,"2021-12-31 07:51:35",0.09629
7949650,hegy0525,"2021-12-31 08:13:13",0.09629
7932589,Lixinyu9565,"2021-12-26 10:43:44",0.10721
7829434,AIlon,"2021-12-20 07:54:45",0.10865
7617982,"SinFa Digital","2021-11-18 09:48:46",0.11137
7735284,dswork,"2021-12-19 04:37:35",0.11239
7711905,LiuC,"2021-12-02 08:38:22",0.11292
5483424,awaiskaggler,"2021-12-01 07:02:55",0.11374
4156099,"Sy-Tuan Nguyen","2022-01-07 15:48:35",0.11381
7870998,zhanghangjian2,"2022-01-08 09:07:43",0.11407
7699839,AUTOML,"2021-12-13 01:25:38",0.11415
7763459,"cole Jack","2021-12-24 14:41:13",0.11452
4772754,linhnguyentr,"2021-12-02 13:20:24",0.11452
5826782,"Francisco #4","2021-12-24 01:29:09",0.11465
7711934,Sage_4433,"2021-11-20 11:50:46",0.11466
7706465,"sophie wu1204","2021-11-11 11:08:14",0.11495
7793426,"Julie Arnaud","2021-11-26 08:51:40",0.11511
6824514,"Rohan Chitale #2","2022-01-07 14:24:14",0.11578
7597669,ralgond,"2021-11-26 08:37:23",0.11618
7746737,JohnTheWarden,"2021-11-18 07:29:45",0.11621
7802587,dcsdhfdr,"2021-11-30 10:53:41",0.11621
7818885,"[Deleted] cd71c477-925b-4b18-b2db-7e25d8c80b01","2021-12-23 08:14:35",0.11632
7759908,huangteng123,"2021-11-26 11:46:52",0.11633
7820142,"Lovro Selic","2022-01-05 11:11:22",0.11675
7424176,DenisGu,"2022-01-04 03:31:53",0.11676
7926767,lcyzka,"2021-12-30 12:05:21",0.11676
7852987,"Yuxin Zuo","2021-12-12 03:19:01",0.11685
7797258,xufeng983364,"2021-12-18 14:35:33",0.11688
6995533,jikim9320,"2021-11-12 00:26:26",0.11707
7519764,"Jan Woś","2021-11-15 23:18:22",0.11708
471254,Utkarsh_Dadhich,"2022-01-02 12:02:47",0.11720
7275006,ChenPingChih,"2021-11-28 04:01:55",0.11720
7696456,"Hassane HASSAR","2021-11-14 12:28:41",0.11720
7655100,"ELENA CUEVAS - RODRIGO QUIÑONES","2021-11-24 02:56:18",0.11720
7838483,"Vaibhavshree Jain","2021-12-05 11:49:30",0.11720
7766621,"Farhan Sadeek","2021-12-10 18:21:48",0.11720
7858218,"Leandro Duarte","2021-12-23 21:12:48",0.11720
7886723,"Vikram Patnaik","2021-12-15 01:17:44",0.11720
6245237,"Daniel Reyes Dhats","2021-12-25 00:21:09",0.11720
7929320,"George Adikashvili","2021-12-25 06:18:44",0.11720
7909488,StupidStan2,"2021-12-26 01:13:54",0.11721
7838083,zhangbihui,"2021-12-28 02:33:15",0.11721
2621073,ashok9893,"2021-12-06 18:04:30",0.11728
5667257,"Sergey RO","2021-11-11 10:35:39",0.11732
7761999,"Sherwood #2","2021-12-20 06:28:05",0.11733
7976511,"Florian ABGRALL","2022-01-07 22:32:31",0.11735
6690493,"Xuân Lộc","2022-01-07 14:18:40",0.11736
7949574,"chí trần 123","2022-01-08 04:33:52",0.11741
6291409,Anton_GS,"2022-01-01 10:31:01",0.11742
7933745,"Assem1 Koilanova","2021-12-26 18:33:37",0.11743
7861578,||Charon-Pluto||,"2021-12-14 17:14:51",0.11748
7966754,"John Oliver #2","2022-01-08 07:09:26",0.11754
7704331,"Xuan  Han","2021-12-22 20:52:11",0.11762
7800788,LiXuan2120210298,"2021-12-08 09:20:45",0.11766
7807059,numbersworker,"2021-12-06 13:06:04",0.11766
7776483,ht201908,"2021-11-23 13:59:33",0.11771
7932427,WUZHUOYU,"2021-12-30 03:48:25",0.11771
7775326,ht201708kaggle,"2021-11-23 11:14:57",0.11773
2700519,NDOM,"2021-12-26 06:58:11",0.11774
7855904,lx2120210298,"2021-12-08 09:22:34",0.11781
4814413,"Anish Ghiya","2022-01-06 07:38:51",0.11782
7902015,"chips ke","2021-12-19 10:54:47",0.11793
7726938,naviak,"2021-12-17 08:35:38",0.11797
7844040,DUANREN,"2021-12-06 15:58:33",0.11798
7745084,snowjade,"2021-11-29 06:37:15",0.11798
7852062,fuziwen,"2021-12-07 18:12:20",0.11800
7807124,Narziss,"2021-12-15 03:22:13",0.11804
7721764,t107360723,"2021-11-21 06:31:56",0.11808
7767424,JorjeousJorje,"2021-12-14 16:11:31",0.11809
7826803,"Shudong Sun (Stone)","2021-12-02 17:25:34",0.11810
7711677,useless_scholar,"2021-11-30 15:23:32",0.11816
7977591,TDC321,"2022-01-08 07:26:51",0.11817
7932967,"Guldana Kichkintoyeva","2021-12-26 13:23:22",0.11818
7727085,"Teck Meng Wong","2021-11-22 07:48:26",0.11818
7769092,Neolit,"2021-12-15 07:47:24",0.11820
4076323,Lin9906,"2021-12-12 16:27:46",0.11825
5698917,"Kyle Peters","2021-12-01 20:27:44",0.11825
7738988,NK0348,"2021-12-08 12:38:32",0.11826
7939253,aaselekzioner,"2021-12-28 07:21:33",0.11829
7427749,"Pinky Gautam","2022-01-01 06:08:01",0.11838
6705854,"Cash Tsang","2021-12-28 07:01:41",0.11839
7917954,jjj_elon,"2021-12-28 06:23:07",0.11843
7887556,nkwlin,"2021-12-28 06:29:07",0.11843
7802283,eugyegce,"2021-11-30 13:22:57",0.11845
7796688,NEUAI_20193151,"2021-12-04 13:13:31",0.11845
6736000,"T Nguyen T","2021-12-20 19:15:50",0.11851
7619630,songxiaoyang,"2022-01-08 04:34:26",0.11853
7977179,SXYYYYY,"2022-01-08 04:36:45",0.11853
7929229,Lusir1,"2021-12-25 06:29:45",0.11854
7404183,"Arnaud R #2","2021-12-31 21:26:04",0.11876
7869108,duoqulai,"2021-12-11 03:37:41",0.11876
7615042,"Arnur Mazhit","2021-12-27 14:05:06",0.11881
7830862,"Marco Sanguineti","2021-12-03 18:58:09",0.11892
7645335,"daiki nakatsuka","2021-11-30 11:54:39",0.11893
7712375,"Himani Suyal","2021-11-22 13:32:42",0.11894
7580643,"Jaran Jonasson","2021-11-12 08:41:47",0.11896
5911846,"Javier Reinoso","2021-12-19 15:20:09",0.11898
7447812,"Poojasree Pasupuleti","2021-12-01 04:57:13",0.11898
7773083,NeuAI20195206,"2021-12-05 11:03:56",0.11898
7780617,"The Trio","2021-12-03 16:46:50",0.11899
7936975,"Aysana Askarova","2021-12-27 15:09:12",0.11899
7937002,"Abdulgafur and Kaiyrkhan","2021-12-27 15:05:40",0.11899
7874638,zzzzz303,"2021-12-12 12:51:15",0.11899
7797078,NeuAI+20195218,"2021-12-06 13:58:29",0.11906
6176238,"Dániel Bálint","2021-11-28 09:57:43",0.11907
6667167,"Dylan sisyphe","2021-12-12 08:50:21",0.11909
7873813," Ma Qisen","2021-12-12 09:15:49",0.11909
7916912,"Dmirty Enikeev","2021-12-22 03:12:13",0.11909
7774973,eskimg,"2021-11-24 08:29:46",0.11910
7640520,"Nat Khol","2021-12-31 16:36:55",0.11912
7466366,"Chi Tian","2021-12-01 00:28:31",0.11912
7451450,liuyoudanyian,"2021-12-13 01:12:14",0.11912
7830509,"Anton Markin","2021-12-10 09:30:25",0.11914
5800635,Alanone,"2021-11-15 14:42:20",0.11920
7877775,yul3ma0,"2022-01-04 10:40:27",0.11921
